"","Year","Location.Description","count"
"1",2001,"STREET",150452
"2",2002,"STREET",147955
"3",2003,"STREET",145650
"4",2004,"STREET",138381
"5",2005,"STREET",123676
"6",2006,"STREET",118760
"7",2007,"STREET",117778
"8",2008,"STREET",112952
"9",2009,"STREET",98588
"10",2001,"RESIDENCE",94152
"11",2010,"STREET",93046
"12",2002,"RESIDENCE",90435
"13",2011,"STREET",84228
"14",2003,"RESIDENCE",81513
"15",2004,"RESIDENCE",78090
"16",2012,"STREET",76182
"17",2005,"RESIDENCE",75877
"18",2006,"RESIDENCE",73724
"19",2007,"RESIDENCE",73147
"20",2008,"RESIDENCE",72642
"21",2013,"STREET",66909
"22",2009,"RESIDENCE",65949
"23",2014,"STREET",63060
"24",2010,"RESIDENCE",60971
"25",2016,"STREET",60897
"26",2015,"STREET",60749
"27",2011,"RESIDENCE",58097
"28",2012,"RESIDENCE",53528
"29",2006,"SIDEWALK",49967
"30",2007,"SIDEWALK",49504
"31",2013,"RESIDENCE",49080
"32",2008,"SIDEWALK",46151
"33",2005,"SIDEWALK",46137
"34",2008,"APARTMENT",45929
"35",2016,"RESIDENCE",45171
"36",2009,"APARTMENT",44994
"37",2009,"SIDEWALK",44311
"38",2007,"APARTMENT",44268
"39",2010,"SIDEWALK",43952
"40",2014,"RESIDENCE",43228
"41",2010,"APARTMENT",42650
"42",2011,"APARTMENT",42583
"43",2004,"SIDEWALK",42330
"44",2006,"APARTMENT",42232
"45",2004,"APARTMENT",42198
"46",2005,"APARTMENT",41588
"47",2012,"APARTMENT",41316
"48",2011,"SIDEWALK",41240
"49",2015,"RESIDENCE",41150
"50",2012,"SIDEWALK",40885
"51",2003,"APARTMENT",39638
"52",2013,"APARTMENT",38438
"53",2003,"SIDEWALK",37648
"54",2013,"SIDEWALK",37266
"55",2002,"APARTMENT",35785
"56",2014,"APARTMENT",35082
"57",2002,"SIDEWALK",34763
"58",2015,"APARTMENT",34761
"59",2016,"APARTMENT",34051
"60",2014,"SIDEWALK",30907
"61",2001,"SIDEWALK",29279
"62",2001,"APARTMENT",28409
"63",2015,"SIDEWALK",27868
"64",2016,"SIDEWALK",23360
"65",2001,"OTHER",21337
"66",2002,"OTHER",20363
"67",2003,"OTHER",18069
"68",2004,"OTHER",17840
"69",2005,"OTHER",16991
"70",2006,"OTHER",16867
"71",2001,"PARKING LOT/GARAGE(NON.RESID.)",16114
"72",2007,"OTHER",16002
"73",2008,"OTHER",15132
"74",2002,"PARKING LOT/GARAGE(NON.RESID.)",14797
"75",2003,"PARKING LOT/GARAGE(NON.RESID.)",14171
"76",2017,"STREET",13799
"77",2004,"PARKING LOT/GARAGE(NON.RESID.)",13346
"78",2009,"OTHER",13282
"79",2010,"OTHER",12394
"80",2005,"PARKING LOT/GARAGE(NON.RESID.)",12285
"81",2004,"SCHOOL, PUBLIC, BUILDING",12040
"82",2008,"PARKING LOT/GARAGE(NON.RESID.)",11916
"83",2011,"OTHER",11843
"84",2003,"SCHOOL, PUBLIC, BUILDING",11789
"85",2005,"SCHOOL, PUBLIC, BUILDING",11684
"86",2012,"OTHER",11658
"87",2013,"OTHER",11379
"88",2007,"PARKING LOT/GARAGE(NON.RESID.)",11350
"89",2009,"PARKING LOT/GARAGE(NON.RESID.)",11268
"90",2006,"PARKING LOT/GARAGE(NON.RESID.)",11237
"91",2016,"OTHER",11155
"92",2002,"SCHOOL, PUBLIC, BUILDING",10935
"93",2002,"ALLEY",10915
"94",2004,"ALLEY",10911
"95",2003,"ALLEY",10898
"96",2001,"ALLEY",10811
"97",2014,"OTHER",10748
"98",2017,"RESIDENCE",10656
"99",2011,"PARKING LOT/GARAGE(NON.RESID.)",10599
"100",2015,"OTHER",10525
"101",2007,"ALLEY",10519
"102",2006,"ALLEY",10471
"103",2001,"SCHOOL, PUBLIC, BUILDING",10377
"104",2006,"SCHOOL, PUBLIC, BUILDING",10361
"105",2005,"ALLEY",10300
