"","Year","Primary.Type","count","size"
"1",2001,"ASSAULT",31384,0.914720457844851
"2",2001,"BATTERY",93448,1.57840791539636
"3",2001,"BURGLARY",26011,0.832746410234465
"4",2001,"CRIMINAL DAMAGE",55851,1.22025254306911
"5",2001,"DECEPTIVE PRACTICE",14891,0.630080699354683
"6",2001,"MOTOR VEHICLE THEFT",27549,0.857012515414235
"7",2001,"NARCOTICS",50567,1.16109522529984
"8",2001,"OTHER OFFENSE",29656,0.889181731063396
"9",2001,"ROBBERY",18441,0.701175089500063
"10",2001,"THEFT",99264,1.62678489252504
"11",2002,"ASSAULT",31521,0.916714789984411
"12",2002,"BATTERY",94152,1.58434230770995
"13",2002,"BURGLARY",25623,0.826512132403997
"14",2002,"CRIMINAL DAMAGE",55940,1.221224407902
"15",2002,"DECEPTIVE PRACTICE",13710,0.604578880502061
"16",2002,"MOTOR VEHICLE THEFT",25121,0.818375664269635
"17",2002,"NARCOTICS",51789,1.1750409644629
"18",2002,"OTHER OFFENSE",32599,0.932258568405817
"19",2002,"ROBBERY",18522,0.702713318236177
"20",2002,"THEFT",98327,1.61908869015351
"21",2003,"ASSAULT",29477,0.886494173227742
"22",2003,"BATTERY",88377,1.53498406826895
"23",2003,"BURGLARY",25156,0.818945569495928
"24",2003,"CRIMINAL DAMAGE",55011,1.21104146856694
"25",2003,"DECEPTIVE PRACTICE",13443,0.598662898451406
"26",2003,"MOTOR VEHICLE THEFT",22748,0.778763977295979
"27",2003,"NARCOTICS",54288,1.20305689318606
"28",2003,"OTHER OFFENSE",31147,0.911260102605219
"29",2003,"ROBBERY",17332,0.679764663737545
"30",2003,"THEFT",98875,1.62359420647158
"31",2004,"ASSAULT",28850,0.877015266683003
"32",2004,"BATTERY",87134,1.52415126320544
"33",2004,"BURGLARY",24564,0.809252014241284
"34",2004,"CRIMINAL DAMAGE",53164,1.19053747210651
"35",2004,"DECEPTIVE PRACTICE",13234,0.593990924951731
"36",2004,"MOTOR VEHICLE THEFT",22805,0.77973904707362
"37",2004,"NARCOTICS",57060,1.23338916330547
"38",2004,"OTHER OFFENSE",29531,0.88730580231815
"39",2004,"ROBBERY",15978,0.652672708560201
"40",2004,"THEFT",95463,1.59533459798892
"41",2005,"ASSAULT",27066,0.849466552706387
"42",2005,"BATTERY",83964,1.49616952560333
"43",2005,"BURGLARY",25504,0.824590628163438
